Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
60,0,3,0,11.0,33.0,0,0.20372421055436,0.5790357089556756,10.898339710912984,6.621405651764134,4.356708826689592,11.418625774449598,1.0986122886681096,11.505749781221132,6.6637710617960755,0.4664636208030064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,1,0,20.0,36.0,1,0.0,0.0,9.215478150957226,8.607216694063826,3.970291913552122,9.976552123393134,7.057036981697891,9.940060532766969,9.701044917950016,0.3833142458651446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
48,0,1,0,21.0,33.0,1,0.0,0.0,9.42686848948139,8.942722330560143,4.204692619390966,10.327152697288243,11.270586352058166,10.14073122822912,11.282633507950546,0.34105742285565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,1,-1,18.963653958129346,33.0,1,0.4436654290434616,0.5233322883724392,9.240948138425463,8.67709870892586,3.044522437723423,9.472781556562168,7.115582126184454,9.693321922512176,8.44712831682494,0.5839247729431734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
36,0,1,0,21.0,34.0,0,0.012333627158816854,0.03257367043148771,9.745688057204163,7.671826797878781,4.477336814478207,10.52529983549145,8.125926802707886,10.431966436539437,10.295546532061378,0.3774558180855946,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
36,0,1,0,15.0,33.0,1,0.13032136875920342,0.056260209207942564,8.071758850083528,7.898039690764619,4.51085950651685,9.064852065227576,6.401917196727186,8.772920092626467,9.75620490038669,0.3150705600984253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,0,1,1,21.0,35.0,0,0.021041502145988166,0.17044031385567332,8.512532346534043,8.517593111437565,5.225746673713202,9.594990340370426,5.978885764901122,9.251578279992428,6.335645092874358,0.29171094563191985,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
36,0,2,-1,20.0030005204282,36.0,1,0.041466266932206036,0.0486672994790179,9.949679105142037,7.8336002236611035,4.454347296253507,10.389026137075234,5.541263545158426,10.575947214398955,6.451786038174304,0.4974035493793485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,1,1,21.0,34.0,1,0.02522320350942766,0.0434042576072856,5.7205412584711555,7.988882253309227,4.454347296253507,9.568084743872936,6.478509642208569,0.0,7.373688133857391,0.021040096609220228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
36,0,1,0,6.0,33.0,1,0.0,0.0,8.288089413185881,8.003363058629947,3.9889840465642745,8.818926087090677,6.555356891810665,8.982309899088579,9.615338704494903,0.4625074781782581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,3,-2,17.0,35.0,1,0.0,0.0,7.527379700733007,7.853993087224244,3.4339872044851463,9.472781556562168,8.015987811027237,7.80994708647679,9.66893542013852,0.13353651761138985,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
